Total Brain,Medial and inferior temporal gyri | Superior temporal gyrus left,Amygdala | Insula right,Medial and inferior temporal gyri left,Hippocampus | Amygdala right,Amygdala | Insula left,Hippocampus | Lateral occipitotemporal gyrus right,Medial and inferior temporal gyri left | Posterior temporal lobe left,Insula left ,Hippocampus | Gyri parahippocampalis et ambiens right,Superior temporal gyrus left
0.6763583,1.37E-06,0.73816013,9.59E-06,0.35589036,0.9348802,0.27161187,0.003671028,0.99944013,0.85193485,0.001254212
0.000303904,1.29E-06,3.40E-05,4.31E-06,6.92E-06,0.001395962,0.12929855,0.002814539,1.24E-08,0.34241197,5.23E-09
2.07E-09,0.016574226,8.14E-07,1.55E-10,2.56E-08,3.33E-06,1.30E-05,0.001952851,5.28E-13,0.006247438,4.91E-05
0.99999774,0.99995553,0.99999094,0.99987185,0.9999976,1,0.99999833,0.23628114,1,0.9996729,0.99873847
1.09E-08,3.99E-10,0.5744355,0.41846007,1.24E-06,1.42E-05,2.29E-05,0.000174316,1.18E-05,4.36E-07,9.99E-08
0.9999994,0.999948,0.99999905,0.9999982,1,0.99995995,0.9999887,0.9703756,1,0.99999547,0.9999918
2.12E-07,3.32E-07,1.50E-06,4.53E-07,2.49E-08,5.70E-06,1.72E-07,0.081630394,7.69E-08,0.000201664,2.32E-07
0.99999464,0.9962924,0.053395133,0.9999465,0.99998784,3.49E-05,0.99995255,0.8754548,0.9997335,0.9999846,1
0.9999871,5.93E-06,0.9992539,1,0.9999001,0.001801392,0.99999714,0.9744202,0.001364309,0.9999968,0.9999999
0.14785156,0.003972428,0.000113942,0.99863786,0.002387844,0.027925331,0.007435417,0.001219409,0.99991226,0.000197696,4.24E-06
7.84E-08,5.37E-08,2.14E-08,7.70E-05,2.12E-09,1.01E-06,2.60E-06,0.006177578,6.58E-09,9.41E-08,8.38E-08
0.024978358,0.99451786,1.78E-05,0.000849021,1.40E-05,0.000458783,0.07011678,0.00051123,0.9999982,0.99998343,0.046144012
1.91E-06,1.64E-07,0.000988529,0.046650987,2.40E-06,0.000153234,0.000505164,0.000235285,3.74E-09,0.001140739,1.18E-06
5.73E-07,1.90E-07,9.30E-06,2.63E-10,0.000242504,1.10E-06,0.9894549,0.003203825,1.62E-08,1.71E-06,3.40E-06
8.36E-06,3.05E-09,6.87E-05,0.000418556,9.11E-07,2.24E-06,3.95E-05,0.000358151,8.16E-10,0.18275529,3.06E-06
2.23E-08,4.12E-09,6.11E-05,0.011680396,1.38E-07,0.000218314,5.98E-05,0.000473868,4.70E-14,3.06E-05,2.82E-09
0.99995184,0.8720016,0.9979943,0.99198735,0.99998105,0.7152962,0.7384564,0.9988165,0.99144846,0.003628221,0.23973292
9.84E-09,1.07E-08,0.00023142,5.91E-15,8.70E-05,0.000130853,2.97E-05,0.007230416,5.26E-07,1.39E-05,9.47E-06
